Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Status
AA,06/16/2023,1402,N114UW,CLT,18:02,17:59,-3
AA,06/16/2023,2988,N9012,CLT,06:50,06:47,-3
AA,06/16/2024,569,N119US,DFW,16:33,00:31,478
AA,06/16/2024,774,N723UW,CLT,05:15,05:25,10
AA,06/17/2022,2591,N716UW,CLT,12:57,12:51,-6
AA,06/17/2023,364,N109UW,CLT,14:39,14:47,8
AA,06/17/2023,774,N737US,CLT,05:20,05:15,-5
AA,06/17/2023,884,N680AW,DFW,16:35,16:50,15
AA,06/17/2023,2988,N9026C,CLT,06:50,06:47,-3
AA,06/17/2024,569,N673AW,DFW,16:33,16:42,9
AA,06/17/2024,774,N716UW,CLT,05:15,05:13,-2
AA,06/18/2022,764,N764US,CLT,14:22,14:18,-4
AA,06/18/2023,364,N773XF,CLT,14:39,14:36,-3
AA,06/18/2023,774,N711UW,CLT,05:20,05:22,2
AA,06/18/2023,884,N128UW,DFW,16:37,16:36,-1
AA,06/18/2023,1402,N114UW,CLT,18:02,18:17,15
AA,06/18/2023,2988,N9023N,CLT,06:50,06:42,-8
AA,06/18/2024,569,N127UW,DFW,16:33,16:28,-5
AA,06/18/2024,774,N823AW,CLT,05:15,05:26,11
AA,06/19/2022,2591,N802AW,CLT,12:57,13:06,9
AA,06/19/2023,364,N724UW,CLT,14:39,00:00,0
AA,06/19/2023,774,N742PS,CLT,05:20,05:12,-8
AA,06/19/2023,884,N604AW,DFW,16:37,16:32,-5
AA,06/19/2023,1402,N9008U,CLT,18:02,19:21,79
AA,06/19/2023,2988,N9008U,CLT,06:50,06:46,-4
AA,06/19/2024,569,N102UW,DFW,16:33,16:33,0
AA,06/19/2024,774,N704US,CLT,05:15,05:07,-8
AA,06/20/2022,2591,N711UW,CLT,12:57,13:01,4
AA,06/20/2023,364,N818AW,CLT,13:54,13:56,2
AA,06/20/2023,774,N771XF,CLT,05:20,06:27,67
AA,06/20/2023,884,N655AW,DFW,16:37,16:38,1
AA,06/20/2023,1402,N818AW,CLT,18:02,17:59,-3
AA,06/20/2023,2988,N9012,CLT,06:50,07:05,15
AA,06/20/2024,569,N668AW,DFW,16:33,17:40,67
AA,06/20/2024,774,N724UW,CLT,05:15,05:13,-2
AA,06/21/2022,2591,N755US,CLT,12:57,13:14,17
AA,06/21/2023,364,N818AW,CLT,13:54,14:22,28
AA,06/21/2023,774,N724UW,CLT,05:20,05:28,8
AA,06/21/2023,884,N9029F,DFW,16:37,20:18,221
AA,06/21/2023,1402,N9015D,CLT,18:02,18:15,13
AA,06/21/2023,2988,N9021H,CLT,06:50,06:50,0
AA,06/21/2024,569,N665AW,DFW,16:33,16:47,14
AA,06/21/2024,774,N4032T,CLT,05:15,05:14,-1
AA,06/22/2022,2591,N9017P,CLT,12:57,14:07,70
AA,06/22/2023,364,N818AW,CLT,14:39,14:42,3
AA,06/22/2023,774,N714US,CLT,05:20,05:16,-4
AA,06/22/2023,884,N665AW,DFW,16:37,17:52,75
AA,06/22/2023,1402,N103US,CLT,18:02,18:46,44
AA,06/22/2023,2988,N4005X,CLT,06:50,06:46,-4
AA,06/22/2024,569,N970UY,DFW,16:30,16:57,27
